id	series	domain_x	coupling	question	status
BL-13.2.0	BL-13	Sedenion	PREDICATE	Can the pinned SciRust sedenion implementation deterministically induce bounded integer-lattice Boolean predicate functions without contaminating the stable toolchain?	VALIDATED
BL-13.2.1	BL-13	Sedenion	PREDICATE	Do exact predicates induced by Boolean×sedenion dynamics generate scalar Boolean functions outside the matched Boolean-only canonical set?	EQUIVALENCE_SCREENED
BL-13.2.2	BL-13	Cayley-Dickson	SELECT	Does dynamic algebra selection induce recurring Boolean construction motifs not present in the seed grammar?	PROPOSED
BL-13.3.1	BL-13	GF(2^k)	ENCODE	Can finite-field-derived predicates induce Boolean functions with non-dominated algebraic or spectral property combinations under matched circuit cost?	VALIDATED
BL-13.4.1	BL-13	Tropical-semiring	PREDICATE	Can tropical path or threshold structure induce compact Boolean functions with distinctive symmetry or spectral fingerprints?	PROPOSED
BL-13.5.1	BL-13	Dynamical-system	PREDICATE	Can regime boundaries from controlled dynamics induce reusable Boolean construction families after exact discretization?	PROPOSED
BL-13.6.1	BL-13	Cross-domain	SYNTHESIZE	Do different X domains independently induce equivalent Boolean functions revealing a common construction principle?	PROPOSED
BL-13.7.1	BL-13	Vectorial-Boolean	SYNTHESIZE	Can hybrid systems induce F_2^n to F_2^m functions with new non-dominated differential spectral and implementation trade-offs after declared equivalence screening?	PROPOSED
BL-14.0.1	BL-14	Sparsity-system	VERIFY	Does the BL-14 harness reproduce dense random magnitude and declared structured sparsity baselines at exactly matched retained densities?	PROPOSED
BL-14.1.1	BL-14	Static-sparsity	MASK	Can an explicit Boolean equation produce a frozen sparse mask that preserves more task quality than density-matched random and magnitude baselines?	PROPOSED
BL-14.1.2	BL-14	Trained-linear	MASK	On the fixed eight-coefficient synthetic regression pilot how do SEARCH-selected frozen Boolean masks compare with matched magnitude activation-energy 2:4 and random controls on non-final VALIDATION?	IMPLEMENTED
BL-14.2.1	BL-14	Structured-sparsity	MASK	Can Boolean equations select blocks channels heads or other hardware-relevant groups with a better quality-resource trade-off than matched structured baselines?	PROPOSED
BL-14.2.2	BL-14	Structured-nonlinear-sparsity	MASK	Across twelve frozen synthetic trained-readout trials how do SEARCH-selected 4/8 Boolean unit masks compare with magnitude unit-level 2:4 activation-energy and fixed random controls on non-final VALIDATION?	IMPLEMENTED
BL-14.2.3	BL-14	Matched-topology-search	VERIFY	On the reused BL-14.2.2 development panel do Boolean and direct mask populations differ at equal unique-topology SEARCH scoring budgets across 2/8 4/8 and 6/8 retained units while identical populations preserve exact behaviour?	IMPLEMENTED
BL-14.3.1	BL-14	Dynamic-sparsity	MASK	Can an input-conditioned Boolean controller vary the active sparse structure cheaply enough that avoided work exceeds controller overhead while preserving the declared quality threshold?	PROPOSED
BL-14.4.1	BL-14	Relational-sparsity	SELECT	Can explicit Boolean relations identify functionally redundant groups better than independent per-group scores at the same retained density?	PROPOSED
BL-14.5.1	BL-14	Sparsity-rule-search	SYNTHESIZE	Can discrete search discover compact Boolean sparsity rules on a Pareto frontier of quality retained density rule complexity and measured resource cost?	PROPOSED
